평가년도,도서관구분,도서관코드,도서관명,행정구역,시군구,장서수,사서수,대출자수,대출권수,도서예산
2021,LIBTYPE000003,247020,포항공과대학교 박태준학술정보관,경북,포항시,375290,8,2011,18571,2903606937 
2021,LIBTYPE000003,247021,포항대학교 학술정보관,경북,포항시,95728,1,236,2442,49766953 
2021,LIBTYPE000003,241039,한경대학교 도서관,경기,안성시,476299,6,3889,14252,359646044 
2021,LIBTYPE000003,L0027,한국개발연구원국제정책대학원대학교 도서관,세종,남세종로,267069,4,500,6861,380673182 
2021,LIBTYPE000003,242027,한국골프대학교 도서관,강원,횡성군,15910,0,107,668,5925750 
2021,LIBTYPE000003,325007,한국과학기술원 학술문화관,대전,유성구,843595,14,5931,113357,8290533747 
2021,LIBTYPE000003,241077,한국관광대학교 도서관,경기,이천시,98699,1,100,2245,92778190 
2021,LIBTYPE000003,243012,한국교원대학교 도서관,충북,청주시,675774,13,2477,36966,710222839 
2021,LIBTYPE000003,243010,한국교통대학교 도서관,충북,충주시,715360,9,2015,19068,990923808 
2021,LIBTYPE000003,248016,한국국제대학교 중앙도서관,경남,진주시,269913,1,37,127,0 
2021,LIBTYPE000003,244013,한국기술교육대학교 도서관,충남,천안시,416773,1.8,1446,25297,939375026 
2021,LIBTYPE000003,241067,한국농수산대학 도서관,전북,전주시,64689,1,184,2833,77752690 
2021,LIBTYPE000003,211057,한국방송통신대학교 도서관,서울,종로구,1035541,26,1008,8375,721977529 
2021,LIBTYPE000003,241076,한국복지대학교 학술정보관,경기,평택시,56001,2,315,3925,92647910 
2021,LIBTYPE000003,247043,한국복지사이버대학 도서관,경북,경산시,11116,0,93,332,2484660 
2021,LIBTYPE000003,241069,한국산업기술대학교 도서관,경기,시흥시,210602,1,1326,17582,478024778 
2021,LIBTYPE000003,211117,한국상담대학원대학교 도서관,서울,서초구,19617,1,124,981,29863785 
2021,LIBTYPE000003,211058,한국성서대학교 도서관,서울,노원구,163796,3,658,6719,111998222 
2021,LIBTYPE000003,248034,한국승강기대학교 도서관,경남,거창군,24121,1,75,1028,15809000 
2021,LIBTYPE000003,211106,한국열린사이버대학교 자료실,서울,중랑구,4074,0,471,1718,1000000 
2021,LIBTYPE000003,244025,한국영상대학교 도서관,세종,장군면,128904,2,648,14698,56165430 
2021,LIBTYPE000003,211068,한국예술종합학교 예술정보관,서울,성북구,322433,9,1498,50739,352218540 
2021,LIBTYPE000003,241047,한국외국어대학교 글로벌캠퍼스 도서관,경기,용인시,772487,7,2639,33257,0 
2021,LIBTYPE000003,211059,한국외국어대학교 도서관,서울,동대문구,1207763,10,7334,93268,1823913772 
2021,LIBTYPE000003,231002,한국전력국제원자력대학원대학교 도서관,울산,울주군,8202,1,182,419,109194220 
2021,LIBTYPE000003,244031,한국전통문화대학교 학술정보관,충남,부여군,276418,2.5,669,10423,277650810 
2021,LIBTYPE000003,211060,한국체육대학교 도서관,서울,송파구,172331,4,328,4014,333066940 
2021,LIBTYPE000003,225012,한국침례신학대학교 도서관,대전,유성구,261894,2,1269,17820,193029571 
2021,LIBTYPE000003,P00005,한국폴리텍Ⅰ대학서울강서캠퍼스 도서관,서울,강서구,7302,0,34,184,8563860 
